,loss_total,loss_survey,loss_mobile,loss_sensor
408,0.002855981041501151,1.90703240570122e-07,0.0007903060656911844,0.0020648375633800114
409,0.002846104241724923,1.8994645094821243e-07,0.0007858142373385502,0.0020594611496985308
410,0.0028362959069346046,1.891953602164919e-07,0.0007813491129249509,0.0020541264219967824
411,0.0028265554539443844,1.884499164905564e-07,0.0007769105281267811,0.0020488329620448453
412,0.0028168823051666412,1.8771006843690967e-07,0.0007724983196605713,0.0020435803561654974
413,0.002807275888547838,1.869757652623368e-07,0.000768112325276316,0.0020383681951767828
414,0.002797735637505372,1.8624695671280593e-07,0.0007637523837508482,0.002033196074335561
415,0.002788260990865288,1.8552359306100945e-07,0.0007594183348812537,0.002028063593281828
416,0.0027788513928010223,1.8480562510532459e-07,0.0007551100194783291,0.002022970355984152
417,0.0027695062927730095,1.8409300415857557e-07,0.0007508272793600813,0.0020179159706856784
418,0.0027602251454691548,1.8338568205101368e-07,0.0007465699573452654,0.002012900049851258
419,0.002751007410746214,1.8268361110892665e-07,0.0007423378972469703,0.0020079222101151953
420,0.002741852553572041,1.8198674416776596e-07,0.0007381309438662399,0.002002982072229971
421,0.002732760043968613,1.8129503454569124e-07,0.0007339489429857356,0.001998079261015643
422,0.002723729356955977,1.8060843605608194e-07,0.0007297917413634439,0.001993213405310128
423,0.002714759972496914,1.7992690298948862e-07,0.000725659186726417,0.0019883841379202015
424,0.0027058513754424397,1.7925039011244003e-07,0.0007215511277645607,0.0019835910955732
425,0.0026970030554781177,1.7857885266563276e-07,0.0007174674141244561,0.00197883391886962
426,0.0026882145070710613,1.7791224634829352e-07,0.0007134078964032246,0.001974112252236256
427,0.0026794852294177583,1.772505273220082e-07,0.0007093724261424311,0.0019694257438801765
428,0.0026708147263925595,1.7659365220199548e-07,0.0007053608558220239,0.00196477404574337
429,0.0026622025064970086,1.7594157804867923e-07,0.0007013730388543179,0.001960156813458008
430,0.0026536480828097155,1.7529426236963955e-07,0.0006974088295780114,0.0019555737063025186
431,0.0026451509729370727,1.7465166310529556e-07,0.0006934680832522454,0.0019510243871581352
432,0.0026367106989646115,1.740137386310821e-07,0.0006895506560506977,0.0019465085224662888
433,0.002628326787408985,1.7338044774864434e-07,0.0006856564050557158,0.0019420257821864192
434,0.0026199987691706535,1.7275174968700802e-07,0.0006817851882524884,0.0019375758397546334
435,0.002611726179487208,1.721276040842386e-07,0.0006779368645232521,0.001933158372042816
436,0.0026035085578873527,1.715079709965763e-07,0.0006741112936415373,0.001928773059318348
437,0.0025953454481454606,1.708928108843012e-07,0.0006703083362664495,0.0019244195852045347
438,0.0025872363982367957,1.7028208461010428e-07,0.0006665278539369862,0.001920097636641427
439,0.002579180960293287,1.6967575343971888e-07,0.0006627697090663939,0.0019158069038473946
440,0.00257117869055995,1.690737790268889e-07,0.0006590337649365563,0.0019115470802810747
441,0.002563229149351834,1.6847612341646802e-07,0.0006553198856924217,0.001907317862604058
442,0.00255533190101157,1.6788274903577106e-07,0.0006516279363364655,0.0019031189506439033
443,0.002547486513867509,1.672936186915691e-07,0.0006479577827231867,0.0018989500473578832
444,0.0025396925601923093,1.6670869556902328e-07,0.0006443092915536413,0.0018948108587970457
445,0.0025319496161621815,1.6612794322107628e-07,0.0006406823303700085,0.0018907010940709373
446,0.0025242572618166498,1.6555132556702377e-07,0.0006370767675501954,0.0018866204653127617
447,0.0025166150810186794,1.6497880689149894e-07,0.0006334924723024717,0.001882568687644982
448,0.002509022661415575,1.6441035183211974e-07,0.000629929314660141,0.0018785454791455007
449,0.0025014795944001867,1.6384592538387945e-07,0.0006263871654762469,0.0018745505608142306
450,0.00249398547507263,1.632854928895767e-07,0.0006228658964183109,0.0018705836565401544
451,0.0024865399022026497,1.627290200408915e-07,0.0006193653799631058,0.00186664449306883
452,0.0024791424781922273,1.6217647286687575e-07,0.0006158854893914609,0.001862732799970357
453,0.0024717928090388906,1.6162781773753284e-07,0.0006124260987831024,0.001858848309607778
454,0.002464490504299275,1.610830213549612e-07,0.0006089870830115243,0.001854990757105865
455,0.002457235177053309,1.605420507504099e-07,0.0006055683177388935,0.0018511598803204194
456,0.002450026443868765,1.600048732836713e-07,0.0006021696794109886,0.0018473554198078761
457,0.0024428639247662805,1.5947145663709768e-07,0.0005987910452521682,0.0018435771187954048
