loss,loss1,loss2,loss3
41.782440185546875,8.070192337036133,0.0006003657472319901,33.2501106262207
38.432132720947266,7.3517255783081055,0.0002977418771479279,30.656213760375977
35.36132049560547,6.697216987609863,0.000901588296983391,28.27391242980957
32.54669189453125,6.100976467132568,0.002300998894497752,26.085922241210938
29.966896057128906,5.557815074920654,0.004395658615976572,24.076406478881836
27.602327346801758,5.063004016876221,0.007094922009855509,22.23078727722168
25.435026168823242,4.612247467041016,0.010316967964172363,20.535686492919922
23.448535919189453,4.201617240905762,0.01398802176117897,18.978797912597656
21.62773895263672,3.8275372982025146,0.01804164983332157,17.5488338470459
19.958797454833984,3.486758232116699,0.022418104112148285,16.23539924621582
18.429031372070312,3.1763226985931396,0.027063723653554916,15.028972625732422
17.02680206298828,2.893521547317505,0.03193039819598198,13.920792579650879
15.741448402404785,2.6359000205993652,0.03697506710886955,12.902813911437988
14.56319808959961,2.4012129306793213,0.04215923696756363,11.96764850616455
13.483087539672852,2.187420606613159,0.047448594123125076,11.108513832092285
12.492903709411621,1.9926620721817017,0.05281263589859009,10.31917667388916
11.585125923156738,1.8152450323104858,0.058224257081747055,9.593916893005371
10.752853393554688,1.6536247730255127,0.06365948170423508,8.927478790283203
9.989768028259277,1.5063906908035278,0.06909716129302979,8.315040588378906
9.290068626403809,1.372265338897705,0.07451869547367096,7.752175807952881
8.648451805114746,1.2500810623168945,0.07990781217813492,7.234813690185547
8.060054779052734,1.1387763023376465,0.08525031805038452,6.759223461151123
7.520418167114258,1.0373797416687012,0.09053390473127365,6.3219804763793945
7.025456428527832,0.9450098276138306,0.09574796259403229,5.919938564300537
6.571428298950195,0.8608648180961609,0.10088341683149338,5.5502095222473145
6.154906749725342,0.784210741519928,0.1059325635433197,5.21014404296875
5.77274751663208,0.7143821120262146,0.11088897287845612,4.897310733795166
5.42207670211792,0.6507718563079834,0.11574727296829224,4.609476089477539
5.100256443023682,0.5928259491920471,0.12050309032201767,4.3445940017700195
4.804869174957275,0.540039598941803,0.12515302002429962,4.100780963897705
4.533703804016113,0.49195337295532227,0.12969432771205902,3.8763139247894287
4.284729957580566,0.4481479823589325,0.13412508368492126,3.6696078777313232
4.056092739105225,0.40824317932128906,0.1384439766407013,3.4792115688323975
3.8460912704467773,0.3718918561935425,0.14265015721321106,3.303790330886841
3.653165340423584,0.33877673745155334,0.14674337208271027,3.1421196460723877
3.4758894443511963,0.30861034989356995,0.15072375535964966,2.9930782318115234
3.3129537105560303,0.2811295688152313,0.15459184348583221,2.855634927749634
3.1631622314453125,0.256095826625824,0.1583484560251236,2.7288451194763184
3.025416851043701,0.23329196870326996,0.16199474036693573,2.611840009689331
2.898714065551758,0.21251808106899261,0.16553209722042084,2.503824234008789
2.782130002975464,0.19359369575977325,0.16896212100982666,2.404067277908325
2.6748249530792236,0.17635440826416016,0.17228655517101288,2.3118977546691895
2.5760245323181152,0.160649836063385,0.17550736665725708,2.226701259613037
2.48502254486084,0.1463453620672226,0.1786266416311264,2.1479132175445557
2.401170015335083,0.13331317901611328,0.18164651095867157,2.0750162601470947
2.3238725662231445,0.12144122272729874,0.18456920981407166,2.007533311843872
2.2525861263275146,0.11062638461589813,0.1873970925807953,1.945029377937317
2.1868152618408203,0.10077466815710068,0.19013246893882751,1.8871034383773804
2.126101493835449,0.09180059283971786,0.19277779757976532,1.833387851715088
2.0700275897979736,0.08362572640180588,0.1953354775905609,1.7835456132888794
2.0182101726531982,0.07617831230163574,0.1978079378604889,1.7372671365737915
1.9702982902526855,0.06939385086297989,0.20019762217998505,1.6942678689956665
1.9259717464447021,0.06321372836828232,0.20250694453716278,1.6542872190475464
1.8849351406097412,0.0575840137898922,0.2047383338212967,1.6170850992202759
1.8469185829162598,0.052455637603998184,0.2068941593170166,1.5824426412582397
1.8116759061813354,0.04778388515114784,0.20897682011127472,1.550156593322754
1.7789790630340576,0.04352791607379913,0.2109885960817337,1.520042896270752
1.7486220598220825,0.03965136036276817,0.212931826710701,1.4919302463531494
1.7204149961471558,0.03612037003040314,0.21480871737003326,1.4656633138656616
1.6941829919815063,0.03290366381406784,0.2166214883327484,1.4410979747772217
1.6697661876678467,0.029973460361361504,0.21837233006954193,1.4181019067764282
1.6470184326171875,0.027304165065288544,0.22006329894065857,1.3965542316436768
1.6258050203323364,0.02487260103225708,0.22169652581214905,1.3763442039489746
1.606003999710083,0.022657476365566254,0.22327397763729095,1.3573687076568604
1.587502121925354,0.02063940092921257,0.22479762136936188,1.339534044265747
1.5701957941055298,0.018800944089889526,0.22626937925815582,1.32275390625
1.5539906024932861,0.01712610572576523,0.22769111394882202,1.3069486618041992
1.5388001203536987,0.015600532293319702,0.22906458377838135,1.2920453548431396
1.5245442390441895,0.014210724271833897,0.23039156198501587,1.2779767513275146
1.5111500024795532,0.012944674119353294,0.2316737323999405,1.2646815776824951
1.498550534248352,0.011791608296334743,0.23291277885437012,1.2521024942398071
1.4866849184036255,0.0107413986697793,0.23411023616790771,1.2401872873306274
1.4754961729049683,0.009784637950360775,0.23526771366596222,1.2288880348205566
1.4649322032928467,0.008913100697100163,0.23638665676116943,1.2181602716445923
1.4549460411071777,0.008119137026369572,0.23746848106384277,1.207963466644287
1.4454939365386963,0.007395727559924126,0.23851463198661804,1.1982594728469849
1.4365355968475342,0.006736701354384422,0.23952645063400269,1.1890146732330322
1.428034782409668,0.006136496551334858,0.24050521850585938,1.1801964044570923
1.4199575185775757,0.005589722190052271,0.2414521872997284,1.1717755794525146
1.4122730493545532,0.005091708153486252,0.24236859381198883,1.1637250185012817
